Var,VarName,VarDesc,VarCat1,VarCat2,VarCat3,VarCat4,VarCat5,VarCat6
MUSE_Volume_4,3rd Ventricle,3rd Ventricle,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_11,4th Ventricle,4th Ventricle,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_23,Right Accumbens Area,Right Accumbens Area,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_30,Left Accumbens Area,Left Accumbens Area,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_31,Right Amygdala,Right Amygdala,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_32,Left Amygdala,Left Amygdala,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_35,Brain Stem,Brain Stem,MUSEROI,,Single,NonCortical,,
MUSE_Volume_36,Right Caudate,Right Caudate,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_37,Left Caudate,Left Caudate,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_38,Right Cerebellum Exterior,Right Cerebellum Exterior,MUSEROI,,Single,NonCortical,Cerebellum,GM
MUSE_Volume_39,Left Cerebellum Exterior,Left Cerebellum Exterior,MUSEROI,,Single,NonCortical,Cerebellum,GM
MUSE_Volume_40,Right Cerebellum White Matter,Right Cerebellum White Matter,MUSEROI,,Single,NonCortical,Cerebellum,WM
MUSE_Volume_41,Left Cerebellum White Matter,Left Cerebellum White Matter,MUSEROI,,Single,NonCortical,Cerebellum,WM
MUSE_Volume_46,CSF,CSF,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_47,Right Hippocampus,Right Hippocampus,MUSEROI,,Single,NonCortical,DeepStructures,GM
MUSE_Volume_48,Left Hippocampus,Left Hippocampus,MUSEROI,MainROI,Single,NonCortical,DeepStructures,GM
MUSE_Volume_49,Right Inf Lat Vent,Right Inf Lat Vent,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_50,Left Inf Lat Vent,Left Inf Lat Vent,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_51,Right Lateral Ventricle,Right Lateral Ventricle,MUSEROI,,Single,NonCortical,,CSF
MUSE_Volume_52,Left Lateral Ventricle,Left Lateral Ventricle,MUSEROI,,Single,NonCortical,,CSF
